id,package,NC,A,I,D
192,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.conf,10,0.20,0.83,0.03
193,org.apache.hadoop.yarn.server.resourcemanager.scheduler.constraint,10,0.40,0.53,0.07
194,org.apache.hadoop.yarn.server.resourcemanager.scheduler.policy,10,0.30,0.62,0.08
195,org.apache.hadoop.yarn.server.resourcemanager.security,10,0.00,0.36,0.64
196,org.apache.hadoop.yarn.server.webapp,10,0.10,0.29,0.61
197,org.apache.hadoop.yarn.service.exceptions,10,0.40,0.13,0.47
198,org.apache.hadoop.yarn.state,10,0.50,0.33,0.17
199,org.apache.hadoop.fs.adl,9,0.00,1.00,0.00
200,org.apache.hadoop.fs.azurebfs.oauth2,9,0.11,0.29,0.60
201,org.apache.hadoop.fs.http.server,9,0.00,0.90,0.10
202,org.apache.hadoop.fs.s3a.commit.staging,9,0.00,0.80,0.20
203,org.apache.hadoop.hdds.scm.block,9,0.33,0.73,0.06
204,org.apache.hadoop.hdfs.server.balancer,9,0.11,0.50,0.39
205,org.apache.hadoop.hdfs.server.federation.store.records,9,0.78,0.11,0.11
206,org.apache.hadoop.io.compress.bzip2,9,0.11,0.78,0.11
207,org.apache.hadoop.mapreduce.checkpoint,9,0.33,0.42,0.25
208,org.apache.hadoop.metrics2.util,9,0.11,0.17,0.72
209,org.apache.hadoop.ozone.audit,9,0.33,0.38,0.29
210,org.apache.hadoop.ozone.container.common.impl,9,0.11,0.25,0.64
211,org.apache.hadoop.ozone.web.response,9,0.00,0.57,0.43
212,org.apache.hadoop.service,9,0.33,0.05,0.62
213,org.apache.hadoop.tracing,9,0.22,0.41,0.37
214,org.apache.hadoop.yarn.nodelabels.store.op,9,0.11,0.69,0.20
215,org.apache.hadoop.yarn.server.applicationhistoryservice.records,9,0.67,0.32,0.01
216,org.apache.hadoop.yarn.server.nodemanager.containermanager.launcher,9,0.00,0.50,0.50
217,org.apache.hadoop.yarn.server.nodemanager.executor,9,0.00,0.41,0.59
218,org.apache.hadoop.yarn.server.nodemanager.nodelabels,9,0.56,0.73,0.28
219,org.apache.hadoop.yarn.server.resourcemanager.ahs,9,0.00,0.67,0.33
220,org.apache.hadoop.yarn.server.resourcemanager.placement,9,0.11,0.46,0.43
221,org.apache.hadoop.yarn.server.resourcemanager.rmapp.attempt,9,0.11,0.15,0.74
222,org.apache.hadoop.yarn.server.resourcemanager.scheduler.activities,9,0.00,0.24,0.76
223,org.apache.hadoop.yarn.server.resourcemanager.scheduler.common,9,0.11,0.21,0.68
224,org.apache.hadoop.yarn.server.timelineservice.reader.filter,9,0.11,0.30,0.59
225,org.apache.hadoop.yarn.server.timelineservice.storage,9,0.33,0.40,0.27
226,org.apache.hadoop.yarn.server.timelineservice.storage.reader,9,0.22,0.90,0.12
227,org.apache.hadoop.examples.pi,8,0.25,0.50,0.25
228,org.apache.hadoop.fs.azure.security,8,0.12,0.58,0.29
229,org.apache.hadoop.fs.swift.util,8,0.12,0.42,0.46
230,org.apache.hadoop.hdds.scm.node.states,8,0.00,0.50,0.50
231,org.apache.hadoop.hdfs.security.token.block,8,0.00,0.13,0.87
232,org.apache.hadoop.hdfs.server.datanode.checker,8,0.38,0.54,0.09
233,org.apache.hadoop.hdfs.server.federation.metrics,8,0.38,0.44,0.18
234,org.apache.hadoop.hdfs.server.federation.resolver.order,8,0.25,0.50,0.25
